time,battery,temperature,x,y,z,0_radar,1_radar,2_radar,3_radar,4_radar,5_radar,6_radar,7_radar,package_type,f_cnt,dr,snr,rssi
2024-02-13 11:53:30.800,3.12,15.62,620,-618,-532,10,5,6,6,7,7,5,5,PackageType.CHANGE,214,0,5.8,-106
2024-02-13 12:07:56.910,3.14,16.38,525,-631,-557,9,6,4,5,6,6,5,4,PackageType.CHANGE,215,0,7.2,-108
2024-02-13 12:17:54.246,3.14,16.38,515,-630,-543,10,5,5,5,8,7,5,4,PackageType.HEART_BEAT,216,0,-4.2,-102
2024-02-13 12:27:55.246,3.14,16.88,508,-625,-541,10,5,5,5,8,7,5,4,PackageType.HEART_BEAT,216,0,-4.2,-102
2024-02-13 12:37:57.246,3.14,17.25,501,-627,-529,10,5,5,5,8,7,5,4,PackageType.HEART_BEAT,216,0,-4.2,-102
2024-02-13 12:48:59.808,3.14,18.0,589,-704,-550,39,9,5,5,5,5,5,4,PackageType.CHANGE,217,0,6,-106
2024-02-13 12:50:15.241,3.14,18.0,492,-628,-521,12,6,5,6,6,6,6,5,PackageType.CHANGE,218,0,7.5,-103
2024-02-13 13:30:13.713,3.14,19.12,467,-617,-490,14,6,5,4,4,6,6,5,PackageType.HEART_BEAT,220,0,3,-118
2024-02-13 13:40:13.713,3.14,19.5,462,-620,-496,14,6,5,4,4,6,6,5,PackageType.HEART_BEAT,220,0,3,-118
2024-02-13 13:50:11.713,3.14,19.62,464,-615,-487,14,6,5,4,4,6,6,5,PackageType.HEART_BEAT,220,0,3,-118
2024-02-13 14:00:12.303,3.14,19.88,463,-619,-482,14,6,4,6,6,5,6,5,PackageType.HEART_BEAT,221,0,-3,-113
2024-02-13 14:10:14.303,3.14,20.0,456,-618,-477,14,6,4,6,6,5,6,5,PackageType.HEART_BEAT,221,0,-3,-113
2024-02-13 14:20:11.303,3.14,20.25,452,-616,-474,14,6,4,6,6,5,6,5,PackageType.HEART_BEAT,221,0,-3,-113
2024-02-13 14:30:11.646,3.14,20.38,451,-614,-469,14,6,4,4,5,5,4,5,PackageType.HEART_BEAT,222,0,2,-112
2024-02-13 14:40:07.646,3.14,20.5,448,-613,-466,14,6,4,4,5,5,4,5,PackageType.HEART_BEAT,222,0,2,-112
2024-02-13 14:50:09.646,3.14,20.62,447,-615,-469,14,6,4,4,5,5,4,5,PackageType.HEART_BEAT,222,0,2,-112
2024-02-13 15:00:09.761,3.14,20.75,444,-617,-468,15,7,6,5,7,7,5,5,PackageType.HEART_BEAT,223,0,-3,-118
2024-02-13 15:10:09.761,3.14,20.88,439,-615,-470,15,7,6,5,7,7,5,5,PackageType.HEART_BEAT,223,0,-3,-118
2024-02-13 15:20:09.761,3.14,21.0,442,-616,-465,15,7,6,5,7,7,5,5,PackageType.HEART_BEAT,223,0,-3,-118
2024-02-13 15:30:07.886,3.14,21.12,441,-618,-468,12,5,5,5,5,5,6,6,PackageType.HEART_BEAT,224,0,0.8,-116
2024-02-13 15:40:09.886,3.14,21.25,441,-617,-459,12,5,5,5,5,5,6,6,PackageType.HEART_BEAT,224,0,0.8,-116
2024-02-13 15:50:09.886,3.14,21.25,438,-615,-457,12,5,5,5,5,5,6,6,PackageType.HEART_BEAT,224,0,0.8,-116
