time,battery,temperature,radar_0,radar_1,radar_2,radar_3,radar_4,radar_5,radar_6,radar_7,package_type,f_cnt,dr,snr,rssi,hw_fw_version,time_hour,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,et0_fao_evapotranspiration,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,psensor,id,radar_cluster
2024-03-01 00:10:32.251,3.04,5.25,6.0,6.0,6.0,6.0,7.0,7.0,7.0,4.0,PackageType.HEART_BEAT,1459.0,4.0,2.5,-86.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.2305,87.63495,0.1,1001.9787,100.0,0.0062666526,16.904673,5.3805003,0.296,BIKELANE,2024-03-01 00:10:32.251_BIKELANE,no_detection
2024-03-01 00:40:33.352,3.04,5.25,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,PackageType.HEART_BEAT,1460.0,4.0,,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.2305,87.63495,0.1,1001.9787,100.0,0.0062666526,16.904673,5.3805003,0.296,BIKELANE,2024-03-01 00:40:33.352_BIKELANE,no_detection
2024-03-01 01:10:32.499,3.04,5.125,6.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,PackageType.HEART_BEAT,1461.0,4.0,3.8,-86.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,5.7305,88.20579,0.1,1002.0734,80.40001,0.0047433004,16.299694,5.1305003,0.292,BIKELANE,2024-03-01 01:10:32.499_BIKELANE,no_detection
2024-03-01 01:40:34.340,3.06,5.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1462.0,4.0,2.5,-87.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,5.7305,88.20579,0.1,1002.0734,80.40001,0.0047433004,16.299694,5.1305003,0.292,BIKELANE,2024-03-01 01:40:34.340_BIKELANE,no_detection
2024-03-01 02:10:34.706,3.04,4.625,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,PackageType.HEART_BEAT,1464.0,4.0,0.5,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,5.2305,89.09788,0.0,1001.4701,60.600002,0.0038181557,16.87398,4.9305,0.289,BIKELANE,2024-03-01 02:10:34.706_BIKELANE,no_detection
2024-03-01 02:40:34.866,3.06,4.5,5.0,6.0,6.0,6.0,8.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1465.0,4.0,4.5,-84.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,5.2305,89.09788,0.0,1001.4701,60.600002,0.0038181557,16.87398,4.9305,0.289,BIKELANE,2024-03-01 02:40:34.866_BIKELANE,no_detection
2024-03-01 03:10:36.753,3.04,4.375,5.0,5.0,4.0,6.0,5.0,5.0,5.0,6.0,PackageType.HEART_BEAT,1466.0,4.0,1.2,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 03:00:00,4.7805004,90.96679,0.0,1000.7674,39.600002,0.0012302331,16.981165,4.7305,0.286,BIKELANE,2024-03-01 03:10:36.753_BIKELANE,no_detection
2024-03-01 03:40:35.956,3.04,3.75,5.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,PackageType.HEART_BEAT,1467.0,4.0,1.2,-88.0,DataVersion.HW_2FW2_X_X,2024-03-01 03:00:00,4.7805004,90.96679,0.0,1000.7674,39.600002,0.0012302331,16.981165,4.7305,0.286,BIKELANE,2024-03-01 03:40:35.956_BIKELANE,no_detection
2024-03-01 04:10:35.788,3.04,3.375,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,PackageType.HEART_BEAT,1468.0,4.0,3.2,-86.0,DataVersion.HW_2FW2_X_X,2024-03-01 04:00:00,3.6805,94.174324,0.0,1000.8559,53.4,0.0,17.0763,4.2305,0.284,BIKELANE,2024-03-01 04:10:35.788_BIKELANE,no_detection
2024-03-01 04:40:33.944,3.04,3.375,5.0,5.0,7.0,7.0,5.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1469.0,4.0,2.8,-86.0,DataVersion.HW_2FW2_X_X,2024-03-01 04:00:00,3.6805,94.174324,0.0,1000.8559,53.4,0.0,17.0763,4.2305,0.284,BIKELANE,2024-03-01 04:40:33.944_BIKELANE,no_detection
2024-03-01 05:10:31.736,3.04,3.125,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,PackageType.HEART_BEAT,1470.0,4.0,4.8,-85.0,DataVersion.HW_2FW2_X_X,2024-03-01 05:00:00,3.5805,94.504166,0.0,1000.8549,68.100006,0.0,18.079027,3.9805,0.282,BIKELANE,2024-03-01 05:10:31.736_BIKELANE,no_detection
2024-03-01 05:40:31.939,3.04,3.125,6.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1471.0,4.0,3.5,-86.0,DataVersion.HW_2FW2_X_X,2024-03-01 05:00:00,3.5805,94.504166,0.0,1000.8549,68.100006,0.0,18.079027,3.9805,0.282,BIKELANE,2024-03-01 05:40:31.939_BIKELANE,no_detection
2024-03-01 05:55:01.806,3.04,3.0,153.0,93.0,51.0,41.0,33.0,23.0,23.0,17.0,PackageType.CHANGE,1472.0,4.0,-7.2,-92.0,DataVersion.HW_2FW2_X_X,2024-03-01 05:00:00,3.5805,94.504166,0.0,1000.8549,68.100006,0.0,18.079027,3.9805,0.282,BIKELANE,2024-03-01 05:55:01.806_BIKELANE,detection
2024-03-01 06:25:03.793,3.06,4.25,129.0,73.0,45.0,25.0,22.0,16.0,23.0,17.0,PackageType.HEART_BEAT,1473.0,4.0,-2.2,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 06:00:00,3.7305,93.84362,0.0,1000.85645,78.6,0.0,17.935081,3.8805,0.28,BIKELANE,2024-03-01 06:25:03.793_BIKELANE,detection
2024-03-01 07:24:59.443,3.06,4.5,123.0,81.0,21.0,29.0,24.0,23.0,15.0,25.0,PackageType.HEART_BEAT,1475.0,4.0,-11.0,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 07:00:00,3.8305,94.51501,0.0,1000.9571,100.0,0.010944393,19.681828,3.8805,0.279,BIKELANE,2024-03-01 07:24:59.443_BIKELANE,detection
2024-03-01 09:55:03.435,3.04,4.875,123.0,101.0,39.0,52.0,29.0,12.0,11.0,18.0,PackageType.HEART_BEAT,1480.0,4.0,-8.2,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 09:00:00,5.2805004,89.41616,0.0,1000.673,77.4,0.048895713,22.065973,4.7305,0.276,BIKELANE,2024-03-01 09:55:03.435_BIKELANE,detection
2024-03-01 10:25:02.156,3.04,5.0,117.0,104.0,35.0,50.0,31.0,13.0,10.0,21.0,PackageType.HEART_BEAT,1481.0,3.0,-10.2,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 10:00:00,6.3805003,83.45089,0.0,1000.58435,45.0,0.08383524,22.104116,5.4305,0.275,BIKELANE,2024-03-01 10:25:02.156_BIKELANE,detection
2024-03-01 11:25:01.752,3.04,5.375,115.0,100.0,50.0,28.0,35.0,17.0,17.0,18.0,PackageType.HEART_BEAT,1483.0,3.0,-5.8,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 11:00:00,7.8305,75.56506,0.0,1000.49896,26.7,0.12838155,20.46941,6.2305,0.274,BIKELANE,2024-03-01 11:25:01.752_BIKELANE,detection
2024-03-01 12:25:02.647,3.04,5.75,121.0,101.0,48.0,26.0,37.0,15.0,14.0,20.0,PackageType.HEART_BEAT,1485.0,3.0,-11.5,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 12:00:00,8.4805,73.84264,0.0,1000.1066,33.600002,0.14826821,18.218275,7.0305004,0.272,BIKELANE,2024-03-01 12:25:02.647_BIKELANE,detection
2024-03-01 12:55:00.739,3.04,5.875,127.0,104.0,48.0,22.0,33.0,17.0,16.0,19.0,PackageType.HEART_BEAT,1486.0,3.0,-11.5,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 12:00:00,8.4805,73.84264,0.0,1000.1066,33.600002,0.14826821,18.218275,7.0305004,0.272,BIKELANE,2024-03-01 12:55:00.739_BIKELANE,detection
2024-03-01 13:24:58.231,3.06,6.0,118.0,100.0,49.0,24.0,36.0,15.0,14.0,20.0,PackageType.HEART_BEAT,1487.0,3.0,-9.8,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 13:00:00,8.080501,77.21412,0.0,1000.6012,100.0,0.119873494,21.485697,6.8805003,0.278,BIKELANE,2024-03-01 13:24:58.231_BIKELANE,detection
2024-03-01 13:54:56.237,3.06,6.125,123.0,93.0,43.0,26.0,32.0,16.0,16.0,22.0,PackageType.HEART_BEAT,1488.0,3.0,-10.8,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 13:00:00,8.080501,77.21412,0.0,1000.6012,100.0,0.119873494,21.485697,6.8805003,0.278,BIKELANE,2024-03-01 13:54:56.237_BIKELANE,detection
2024-03-01 14:24:55.681,3.06,6.125,127.0,98.0,37.0,28.0,31.0,14.0,11.0,20.0,PackageType.HEART_BEAT,1489.0,3.0,-10.0,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 14:00:00,7.1305003,81.80636,0.0,1000.891,100.0,0.05472254,17.782686,6.6805,0.276,BIKELANE,2024-03-01 14:24:55.681_BIKELANE,detection
2024-03-01 15:10:10.149,3.06,6.125,4.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,PackageType.CHANGE,1491.0,3.0,-0.2,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 15:00:00,7.3305,80.695045,0.0,1001.09235,100.0,0.059744395,16.394829,6.6805,0.275,BIKELANE,2024-03-01 15:10:10.149_BIKELANE,no_detection
2024-03-01 15:40:08.504,3.04,6.625,6.0,6.0,6.0,5.0,6.0,7.0,6.0,5.0,PackageType.HEART_BEAT,1492.0,3.0,1.8,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 15:00:00,7.3305,80.695045,0.0,1001.09235,100.0,0.059744395,16.394829,6.6805,0.275,BIKELANE,2024-03-01 15:40:08.504_BIKELANE,no_detection
2024-03-01 16:10:06.869,3.04,5.75,7.0,5.0,6.0,6.0,6.0,7.0,7.0,5.0,PackageType.HEART_BEAT,1493.0,3.0,-0.8,-86.0,DataVersion.HW_2FW2_X_X,2024-03-01 16:00:00,7.0305004,82.08034,0.0,1001.2889,100.0,0.038829584,13.089354,6.5805,0.274,BIKELANE,2024-03-01 16:10:06.869_BIKELANE,no_detection
2024-03-01 16:40:05.463,3.04,5.75,5.0,6.0,6.0,6.0,6.0,7.0,5.0,4.0,PackageType.HEART_BEAT,1494.0,3.0,0.8,-87.0,DataVersion.HW_2FW2_X_X,2024-03-01 16:00:00,7.0305004,82.08034,0.0,1001.2889,100.0,0.038829584,13.089354,6.5805,0.274,BIKELANE,2024-03-01 16:40:05.463_BIKELANE,no_detection
2024-03-01 17:10:05.967,3.04,5.625,6.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,PackageType.HEART_BEAT,1495.0,3.0,1.2,-86.0,DataVersion.HW_2FW2_X_X,2024-03-01 17:00:00,6.5805,84.65451,0.0,1001.4835,96.0,0.0236939,13.089354,6.2805004,0.273,BIKELANE,2024-03-01 17:10:05.967_BIKELANE,no_detection
2024-03-01 17:40:06.265,3.04,5.375,5.0,6.0,6.0,5.0,5.0,7.0,7.0,4.0,PackageType.HEART_BEAT,1496.0,3.0,2.0,-86.0,DataVersion.HW_2FW2_X_X,2024-03-01 17:00:00,6.5805,84.65451,0.0,1001.4835,96.0,0.0236939,13.089354,6.2805004,0.273,BIKELANE,2024-03-01 17:40:06.265_BIKELANE,no_detection
2024-03-01 18:10:04.917,3.06,5.375,7.0,7.0,5.0,4.0,6.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1497.0,3.0,2.0,-85.0,DataVersion.HW_2FW2_X_X,2024-03-01 18:00:00,6.1305003,87.62563,0.0,1002.3768,64.799995,0.00022197817,10.966713,5.9305,0.272,BIKELANE,2024-03-01 18:10:04.917_BIKELANE,no_detection
2024-03-01 18:40:03.423,3.06,4.625,5.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,PackageType.HEART_BEAT,1498.0,3.0,-2.0,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 18:00:00,6.1305003,87.62563,0.0,1002.3768,64.799995,0.00022197817,10.966713,5.9305,0.272,BIKELANE,2024-03-01 18:40:03.423_BIKELANE,no_detection
2024-03-01 19:10:06.532,3.04,4.5,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1499.0,3.0,-0.2,-87.0,DataVersion.HW_2FW2_X_X,2024-03-01 19:00:00,5.7805004,90.4013,0.0,1003.07135,100.0,0.0,9.659814,5.6305003,0.272,BIKELANE,2024-03-01 19:10:06.532_BIKELANE,no_detection
