time,battery,temperature,radar_0,radar_1,radar_2,radar_3,radar_4,radar_5,radar_6,radar_7,package_type,f_cnt,dr,snr,rssi,hw_fw_version,time_hour,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,et0_fao_evapotranspiration,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,psensor,id,radar_cluster
2024-03-01 00:23:31.999,3.16,5.375,4.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1510.0,5.0,1.8,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.2305,87.63495,0.1,1001.9787,100.0,0.0062666526,16.904673,5.3805003,0.296,BUILDING,2024-03-01 00:23:31.999_BUILDING,no_detection
2024-03-01 00:53:34.017,3.16,5.375,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,PackageType.HEART_BEAT,1511.0,5.0,1.2,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.2305,87.63495,0.1,1001.9787,100.0,0.0062666526,16.904673,5.3805003,0.296,BUILDING,2024-03-01 00:53:34.017_BUILDING,no_detection
2024-03-01 01:23:28.623,3.16,5.25,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,PackageType.HEART_BEAT,1512.0,5.0,1.0,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,5.7305,88.20579,0.1,1002.0734,80.40001,0.0047433004,16.299694,5.1305003,0.292,BUILDING,2024-03-01 01:23:28.623_BUILDING,no_detection
2024-03-01 01:53:27.749,3.16,5.125,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1513.0,5.0,-3.2,-92.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,5.7305,88.20579,0.1,1002.0734,80.40001,0.0047433004,16.299694,5.1305003,0.292,BUILDING,2024-03-01 01:53:27.749_BUILDING,no_detection
2024-03-01 02:23:26.777,3.16,4.875,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1515.0,5.0,-2.5,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,5.2305,89.09788,0.0,1001.4701,60.600002,0.0038181557,16.87398,4.9305,0.289,BUILDING,2024-03-01 02:23:26.777_BUILDING,no_detection
2024-03-01 02:53:27.701,3.16,4.75,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1516.0,5.0,-1.8,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,5.2305,89.09788,0.0,1001.4701,60.600002,0.0038181557,16.87398,4.9305,0.289,BUILDING,2024-03-01 02:53:27.701_BUILDING,no_detection
2024-03-01 03:23:23.768,3.14,4.375,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1517.0,5.0,-2.5,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 03:00:00,4.7805004,90.96679,0.0,1000.7674,39.600002,0.0012302331,16.981165,4.7305,0.286,BUILDING,2024-03-01 03:23:23.768_BUILDING,no_detection
2024-03-01 03:53:26.140,3.16,4.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1518.0,5.0,-1.2,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 03:00:00,4.7805004,90.96679,0.0,1000.7674,39.600002,0.0012302331,16.981165,4.7305,0.286,BUILDING,2024-03-01 03:53:26.140_BUILDING,no_detection
2024-03-01 04:23:23.154,3.16,3.75,6.0,6.0,4.0,4.0,5.0,6.0,6.0,7.0,PackageType.HEART_BEAT,1519.0,5.0,-0.8,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 04:00:00,3.6805,94.174324,0.0,1000.8559,53.4,0.0,17.0763,4.2305,0.284,BUILDING,2024-03-01 04:23:23.154_BUILDING,no_detection
2024-03-01 04:45:35.001,3.16,3.625,36.0,88.0,65.0,29.0,24.0,24.0,13.0,11.0,PackageType.CHANGE,1520.0,5.0,-2.8,-91.0,DataVersion.HW_2FW2_X_X,2024-03-01 04:00:00,3.6805,94.174324,0.0,1000.8559,53.4,0.0,17.0763,4.2305,0.284,BUILDING,2024-03-01 04:45:35.001_BUILDING,detection
