time,battery,temperature,x,y,z,0_radar,1_radar,2_radar,3_radar,4_radar,5_radar,6_radar,7_radar,package_type,f_cnt,dr,snr,rssi,hw_fw_version
2024-03-01 00:03:31.999000,,5.5,312,-465,-991,,,,,,,,,PackageType.HEART_BEAT,1510,5,1.8,-89,DataVersion.HW_2FW2_X_X
2024-03-01 00:13:30.999000,,5.5,309,-463,-992,,,,,,,,,PackageType.HEART_BEAT,1510,5,1.8,-89,DataVersion.HW_2FW2_X_X
2024-03-01 00:23:31.999000,3.16,5.375,312,-466,-987,4.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1510,5,1.8,-89,DataVersion.HW_2FW2_X_X
2024-03-01 00:33:33.017000,,5.375,312,-464,-997,,,,,,,,,PackageType.HEART_BEAT,1511,5,1.2,-89,DataVersion.HW_2FW2_X_X
2024-03-01 00:43:33.017000,,5.375,310,-467,-993,,,,,,,,,PackageType.HEART_BEAT,1511,5,1.2,-89,DataVersion.HW_2FW2_X_X
2024-03-01 00:53:34.017000,3.16,5.375,306,-464,-989,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,PackageType.HEART_BEAT,1511,5,1.2,-89,DataVersion.HW_2FW2_X_X
2024-03-01 01:03:32.623000,,5.375,312,-466,-993,,,,,,,,,PackageType.HEART_BEAT,1512,5,1.0,-90,DataVersion.HW_2FW2_X_X
2024-03-01 01:13:31.623000,,5.375,313,-463,-995,,,,,,,,,PackageType.HEART_BEAT,1512,5,1.0,-90,DataVersion.HW_2FW2_X_X
2024-03-01 01:23:28.623000,3.16,5.25,313,-469,-997,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,PackageType.HEART_BEAT,1512,5,1.0,-90,DataVersion.HW_2FW2_X_X
2024-03-01 01:33:27.749000,,5.25,315,-464,-998,,,,,,,,,PackageType.HEART_BEAT,1513,5,-3.2,-92,DataVersion.HW_2FW2_X_X
2024-03-01 01:43:25.749000,,5.25,313,-464,-999,,,,,,,,,PackageType.HEART_BEAT,1513,5,-3.2,-92,DataVersion.HW_2FW2_X_X
2024-03-01 01:53:27.749000,3.16,5.125,314,-468,-994,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1513,5,-3.2,-92,DataVersion.HW_2FW2_X_X
2024-03-01 02:03:26.777000,,5.125,315,-467,-1004,,,,,,,,,PackageType.HEART_BEAT,1515,5,-2.5,-90,DataVersion.HW_2FW2_X_X
2024-03-01 02:13:26.777000,,5.0,319,-466,-1000,,,,,,,,,PackageType.HEART_BEAT,1515,5,-2.5,-90,DataVersion.HW_2FW2_X_X
2024-03-01 02:23:26.777000,3.16,4.875,321,-467,-1002,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1515,5,-2.5,-90,DataVersion.HW_2FW2_X_X
2024-03-01 02:33:26.701000,,4.875,318,-469,-1009,,,,,,,,,PackageType.HEART_BEAT,1516,5,-1.8,-90,DataVersion.HW_2FW2_X_X
2024-03-01 02:43:27.701000,,4.875,325,-471,-1009,,,,,,,,,PackageType.HEART_BEAT,1516,5,-1.8,-90,DataVersion.HW_2FW2_X_X
2024-03-01 02:53:27.701000,3.16,4.75,324,-469,-1010,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1516,5,-1.8,-90,DataVersion.HW_2FW2_X_X
2024-03-01 03:03:26.768000,,4.625,325,-469,-1008,,,,,,,,,PackageType.HEART_BEAT,1517,5,-2.5,-89,DataVersion.HW_2FW2_X_X
2024-03-01 03:13:24.768000,,4.625,327,-468,-1010,,,,,,,,,PackageType.HEART_BEAT,1517,5,-2.5,-89,DataVersion.HW_2FW2_X_X
2024-03-01 03:23:23.768000,3.14,4.375,327,-469,-1012,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1517,5,-2.5,-89,DataVersion.HW_2FW2_X_X
2024-03-01 03:33:24.140000,,4.25,333,-469,-1017,,,,,,,,,PackageType.HEART_BEAT,1518,5,-1.2,-89,DataVersion.HW_2FW2_X_X
2024-03-01 03:43:27.140000,,4.0,332,-471,-1017,,,,,,,,,PackageType.HEART_BEAT,1518,5,-1.2,-89,DataVersion.HW_2FW2_X_X
2024-03-01 03:53:26.140000,3.16,4.0,333,-468,-1021,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1518,5,-1.2,-89,DataVersion.HW_2FW2_X_X
2024-03-01 04:03:25.154000,,4.0,337,-470,-1022,,,,,,,,,PackageType.HEART_BEAT,1519,5,-0.8,-91,DataVersion.HW_2FW2_X_X
2024-03-01 04:13:24.154000,,3.75,332,-469,-1022,,,,,,,,,PackageType.HEART_BEAT,1519,5,-0.8,-91,DataVersion.HW_2FW2_X_X
2024-03-01 04:23:23.154000,3.16,3.75,336,-470,-1024,6.0,6.0,4.0,4.0,5.0,6.0,6.0,7.0,PackageType.HEART_BEAT,1519,5,-0.8,-91,DataVersion.HW_2FW2_X_X
2024-03-01 04:45:35.001000,3.16,3.625,573,73,-590,36.0,88.0,65.0,29.0,24.0,24.0,13.0,11.0,PackageType.CHANGE,1520,5,-2.8,-91,DataVersion.HW_2FW2_X_X
2024-03-01 04:55:35.108000,,3.75,564,80,-567,,,,,,,,,PackageType.HEART_BEAT,1521,5,-2.8,-91,DataVersion.HW_2FW2_X_X
2024-03-01 05:05:34.108000,,4.625,562,84,-569,,,,,,,,,PackageType.HEART_BEAT,1521,5,-2.8,-91,DataVersion.HW_2FW2_X_X
2024-03-01 05:15:35.108000,3.16,4.5,563,82,-568,44.0,84.0,65.0,32.0,33.0,33.0,12.0,10.0,PackageType.HEART_BEAT,1521,5,-2.8,-91,DataVersion.HW_2FW2_X_X
2024-03-01 05:25:34.345000,,4.5,564,83,-572,,,,,,,,,PackageType.HEART_BEAT,1522,5,-1.8,-92,DataVersion.HW_2FW2_X_X
2024-03-01 05:35:33.345000,,4.5,565,78,-572,,,,,,,,,PackageType.HEART_BEAT,1522,5,-1.8,-92,DataVersion.HW_2FW2_X_X
2024-03-01 05:45:35.345000,3.14,4.5,594,68,-570,46.0,83.0,63.0,35.0,36.0,36.0,10.0,7.0,PackageType.HEART_BEAT,1522,5,-1.8,-92,DataVersion.HW_2FW2_X_X
2024-03-01 05:55:34.897000,,4.5,582,39,-575,,,,,,,,,PackageType.HEART_BEAT,1523,5,-2.0,-90,DataVersion.HW_2FW2_X_X
2024-03-01 06:05:35.897000,,4.5,584,41,-578,,,,,,,,,PackageType.HEART_BEAT,1523,5,-2.0,-90,DataVersion.HW_2FW2_X_X
2024-03-01 06:15:34.897000,3.16,4.5,584,41,-578,43.0,85.0,66.0,37.0,35.0,35.0,9.0,7.0,PackageType.HEART_BEAT,1523,5,-2.0,-90,DataVersion.HW_2FW2_X_X
2024-03-01 06:25:35.628000,,4.5,583,42,-576,,,,,,,,,PackageType.HEART_BEAT,1524,5,0.8,-90,DataVersion.HW_2FW2_X_X
2024-03-01 06:35:36.628000,,4.5,586,43,-576,,,,,,,,,PackageType.HEART_BEAT,1524,5,0.8,-90,DataVersion.HW_2FW2_X_X
2024-03-01 06:45:37.628000,3.16,4.5,584,45,-575,38.0,75.0,57.0,37.0,39.0,38.0,9.0,8.0,PackageType.HEART_BEAT,1524,5,0.8,-90,DataVersion.HW_2FW2_X_X
2024-03-01 07:25:34.530000,,4.625,582,43,-578,,,,,,,,,PackageType.HEART_BEAT,1526,5,-2.5,-89,DataVersion.HW_2FW2_X_X
2024-03-01 07:35:34.530000,,4.625,580,43,-572,,,,,,,,,PackageType.HEART_BEAT,1526,5,-2.5,-89,DataVersion.HW_2FW2_X_X
