time,battery,temperature,x,y,z,radar_0,radar_1,radar_2,radar_3,radar_4,radar_5,radar_6,radar_7,package_type,f_cnt,dr,snr,rssi,hw_fw_version,time_hour,temperature_2m,precipitation,psensor,id,mag_cluster,radar_cluster
2024-03-01 00:03:31.999,3.16,5.5,312.0,-465.0,-991.0,4.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1510.0,5.0,1.8,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.4805,0.9,BUILDING,2024-03-01 00:03:31.999_BUILDING,no_detection,0
2024-03-01 00:13:30.999,3.16,5.5,309.0,-463.0,-992.0,4.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1510.0,5.0,1.8,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.4805,0.9,BUILDING,2024-03-01 00:13:30.999_BUILDING,no_detection,0
2024-03-01 00:23:31.999,3.16,5.375,312.0,-466.0,-987.0,4.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,PackageType.HEART_BEAT,1510.0,5.0,1.8,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.4805,0.9,BUILDING,2024-03-01 00:23:31.999_BUILDING,no_detection,0
2024-03-01 00:33:33.017,3.16,5.375,312.0,-464.0,-997.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,PackageType.HEART_BEAT,1511.0,5.0,1.2,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.4805,0.9,BUILDING,2024-03-01 00:33:33.017_BUILDING,no_detection,0
2024-03-01 00:43:33.017,3.16,5.375,310.0,-467.0,-993.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,PackageType.HEART_BEAT,1511.0,5.0,1.2,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.4805,0.9,BUILDING,2024-03-01 00:43:33.017_BUILDING,no_detection,0
2024-03-01 00:53:34.017,3.16,5.375,306.0,-464.0,-989.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,PackageType.HEART_BEAT,1511.0,5.0,1.2,-89.0,DataVersion.HW_2FW2_X_X,2024-03-01 00:00:00,6.4805,0.9,BUILDING,2024-03-01 00:53:34.017_BUILDING,no_detection,0
2024-03-01 01:03:32.623,3.16,5.375,312.0,-466.0,-993.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,PackageType.HEART_BEAT,1512.0,5.0,1.0,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,6.2305,0.6,BUILDING,2024-03-01 01:03:32.623_BUILDING,no_detection,0
2024-03-01 01:13:31.623,3.16,5.375,313.0,-463.0,-995.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,PackageType.HEART_BEAT,1512.0,5.0,1.0,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,6.2305,0.6,BUILDING,2024-03-01 01:13:31.623_BUILDING,no_detection,0
2024-03-01 01:23:28.623,3.16,5.25,313.0,-469.0,-997.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,PackageType.HEART_BEAT,1512.0,5.0,1.0,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,6.2305,0.6,BUILDING,2024-03-01 01:23:28.623_BUILDING,no_detection,0
2024-03-01 01:33:27.749,3.16,5.25,315.0,-464.0,-998.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1513.0,5.0,-3.2,-92.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,6.2305,0.6,BUILDING,2024-03-01 01:33:27.749_BUILDING,no_detection,0
2024-03-01 01:43:25.749,3.16,5.25,313.0,-464.0,-999.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1513.0,5.0,-3.2,-92.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,6.2305,0.6,BUILDING,2024-03-01 01:43:25.749_BUILDING,no_detection,0
2024-03-01 01:53:27.749,3.16,5.125,314.0,-468.0,-994.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1513.0,5.0,-3.2,-92.0,DataVersion.HW_2FW2_X_X,2024-03-01 01:00:00,6.2305,0.6,BUILDING,2024-03-01 01:53:27.749_BUILDING,no_detection,0
2024-03-01 02:03:26.777,3.16,5.125,315.0,-467.0,-1004.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1515.0,5.0,-2.5,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,6.2305,0.1,BUILDING,2024-03-01 02:03:26.777_BUILDING,no_detection,0
2024-03-01 02:13:26.777,3.16,5.0,319.0,-466.0,-1000.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1515.0,5.0,-2.5,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,6.2305,0.1,BUILDING,2024-03-01 02:13:26.777_BUILDING,no_detection,0
2024-03-01 02:23:26.777,3.16,4.875,321.0,-467.0,-1002.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,PackageType.HEART_BEAT,1515.0,5.0,-2.5,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,6.2305,0.1,BUILDING,2024-03-01 02:23:26.777_BUILDING,no_detection,0
2024-03-01 02:33:26.701,3.16,4.875,318.0,-469.0,-1009.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1516.0,5.0,-1.8,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,6.2305,0.1,BUILDING,2024-03-01 02:33:26.701_BUILDING,no_detection,0
2024-03-01 02:43:27.701,3.16,4.875,325.0,-471.0,-1009.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,PackageType.HEART_BEAT,1516.0,5.0,-1.8,-90.0,DataVersion.HW_2FW2_X_X,2024-03-01 02:00:00,6.2305,0.1,BUILDING,2024-03-01 02:43:27.701_BUILDING,no_detection,0
