time,battery,temperature,x,y,z,0_radar,1_radar,2_radar,3_radar,4_radar,5_radar,6_radar,7_radar,package_type,f_cnt,dr,snr,rssi
2024-02-13 11:40:00.269,3.04,14.12,511,-736,-374,37,10,7,9,9,6,11,11,PackageType.CHANGE,213,1,11,-102
2024-02-13 11:53:29.469,3.04,15.25,126,-683,-436,9,8,4,4,5,9,9,5,PackageType.CHANGE,215,1,9.8,-104
2024-02-13 12:07:58.602,3.04,16.0,35,-696,-382,25,11,4,4,4,8,7,6,PackageType.CHANGE,216,1,1,-95
2024-02-13 12:17:58.250,3.04,16.0,27,-697,-379,22,12,6,6,6,7,5,6,PackageType.HEART_BEAT,217,1,9,-102
2024-02-13 12:28:00.250,3.04,16.5,26,-696,-370,22,12,6,6,6,7,5,6,PackageType.HEART_BEAT,217,1,9,-102
2024-02-13 12:38:01.250,3.04,16.88,21,-698,-361,22,12,6,6,6,7,5,6,PackageType.HEART_BEAT,217,1,9,-102
2024-02-13 12:47:55.840,3.04,17.25,17,-697,-356,27,10,5,6,6,5,5,6,PackageType.HEART_BEAT,218,1,7.8,-107
2024-02-13 12:57:55.840,3.04,17.62,16,-696,-348,27,10,5,6,6,5,5,6,PackageType.HEART_BEAT,218,1,7.8,-107
2024-02-13 13:07:56.840,3.04,18.0,5,-697,-343,27,10,5,6,6,5,5,6,PackageType.HEART_BEAT,218,1,7.8,-107
2024-02-13 13:17:58.966,3.04,18.25,3,-689,-330,35,17,4,4,5,7,6,6,PackageType.HEART_BEAT,219,1,9.5,-101
2024-02-13 13:27:57.966,3.04,18.62,2,-695,-330,35,17,4,4,5,7,6,6,PackageType.HEART_BEAT,219,1,9.5,-101
2024-02-13 13:37:57.966,3.04,19.0,1,-696,-324,35,17,4,4,5,7,6,6,PackageType.HEART_BEAT,219,1,9.5,-101
2024-02-13 13:47:59.162,3.04,19.25,-2,-695,-324,30,16,6,6,6,8,8,5,PackageType.HEART_BEAT,220,1,7.5,-111
2024-02-13 13:57:59.162,3.04,19.38,-6,-695,-318,30,16,6,6,6,8,8,5,PackageType.HEART_BEAT,220,1,7.5,-111
2024-02-13 14:07:58.162,3.04,19.62,-8,-695,-312,30,16,6,6,6,8,8,5,PackageType.HEART_BEAT,220,1,7.5,-111
2024-02-13 14:17:59.420,3.04,19.88,-9,-693,-308,29,15,5,5,5,8,6,5,PackageType.HEART_BEAT,221,1,10.5,-101
2024-02-13 14:28:00.420,3.04,20.0,-12,-691,-305,29,15,5,5,5,8,6,5,PackageType.HEART_BEAT,221,1,10.5,-101
2024-02-13 14:38:01.420,3.04,20.25,-13,-692,-305,29,15,5,5,5,8,6,5,PackageType.HEART_BEAT,221,1,10.5,-101
2024-02-13 14:48:00.182,3.04,20.38,-14,-696,-302,27,16,5,6,6,9,9,4,PackageType.HEART_BEAT,222,1,-6.5,-100
2024-02-13 14:57:59.182,3.04,20.5,-18,-692,-303,27,16,5,6,6,9,9,4,PackageType.HEART_BEAT,222,1,-6.5,-100
2024-02-13 15:07:58.182,3.04,20.62,-14,-693,-297,27,16,5,6,6,9,9,4,PackageType.HEART_BEAT,222,1,-6.5,-100
2024-02-13 15:17:57.325,3.04,20.75,-22,-693,-292,29,18,5,5,5,9,8,6,PackageType.HEART_BEAT,223,1,9.2,-105
2024-02-13 15:27:59.325,3.04,20.88,-17,-693,-290,29,18,5,5,5,9,8,6,PackageType.HEART_BEAT,223,1,9.2,-105
2024-02-13 15:37:56.325,3.04,21.0,-19,-694,-290,29,18,5,5,5,9,8,6,PackageType.HEART_BEAT,223,1,9.2,-105
2024-02-13 15:47:54.666,3.04,21.12,-22,-689,-294,29,14,6,5,6,8,6,6,PackageType.HEART_BEAT,224,1,9.8,-113
2024-02-13 15:57:52.666,3.04,21.12,-25,-696,-295,29,14,6,5,6,8,6,6,PackageType.HEART_BEAT,224,1,9.8,-113
2024-02-13 16:07:52.666,3.04,21.25,-23,-690,-285,29,14,6,5,6,8,6,6,PackageType.HEART_BEAT,224,1,9.8,-113
2024-02-13 16:17:52.065,3.04,21.25,-24,-691,-289,26,16,4,4,7,9,7,6,PackageType.HEART_BEAT,225,1,7.8,-106
2024-02-13 16:27:53.065,3.04,21.38,-24,-694,-281,26,16,4,4,7,9,7,6,PackageType.HEART_BEAT,225,1,7.8,-106
2024-02-13 16:37:56.065,3.04,21.38,-22,-694,-281,26,16,4,4,7,9,7,6,PackageType.HEART_BEAT,225,1,7.8,-106
2024-02-13 16:47:54.048,3.04,21.5,-24,-692,-279,27,16,7,7,7,10,7,6,PackageType.HEART_BEAT,226,1,10.2,-109
2024-02-13 16:57:55.048,3.04,21.5,-27,-692,-277,27,16,7,7,7,10,7,6,PackageType.HEART_BEAT,226,1,10.2,-109
2024-02-13 17:07:54.048,3.04,21.5,-26,-691,-280,27,16,7,7,7,10,7,6,PackageType.HEART_BEAT,226,1,10.2,-109
2024-02-13 17:17:52.681,3.04,21.5,-22,-694,-276,23,15,7,6,5,7,7,4,PackageType.HEART_BEAT,227,2,7,-106
2024-02-13 17:27:52.681,3.04,21.62,-31,-691,-278,23,15,7,6,5,7,7,4,PackageType.HEART_BEAT,227,2,7,-106
2024-02-13 17:37:51.681,3.04,21.62,-23,-694,-279,23,15,7,6,5,7,7,4,PackageType.HEART_BEAT,227,2,7,-106
2024-02-13 17:47:51.945,3.04,21.62,-23,-693,-275,23,15,5,5,6,10,8,6,PackageType.HEART_BEAT,228,2,9,-108
2024-02-13 17:57:51.945,3.04,21.62,-25,-694,-275,23,15,5,5,6,10,8,6,PackageType.HEART_BEAT,228,2,9,-108
2024-02-13 18:07:50.945,3.04,21.75,-24,-694,-271,23,15,5,5,6,10,8,6,PackageType.HEART_BEAT,228,2,9,-108
2024-02-13 18:17:50.249,3.04,21.75,-30,-693,-275,26,17,4,5,7,7,6,5,PackageType.HEART_BEAT,229,2,8.5,-106
2024-02-13 18:27:51.249,3.04,21.75,-29,-692,-276,26,17,4,5,7,7,6,5,PackageType.HEART_BEAT,229,2,8.5,-106
2024-02-13 18:37:49.249,3.04,21.75,-27,-694,-275,26,17,4,5,7,7,6,5,PackageType.HEART_BEAT,229,2,8.5,-106
2024-02-13 18:47:48.223,3.04,21.75,-31,-694,-273,22,13,6,4,7,9,8,5,PackageType.HEART_BEAT,230,2,6.8,-109
2024-02-13 18:57:46.223,3.04,21.88,-29,-692,-274,22,13,6,4,7,9,8,5,PackageType.HEART_BEAT,230,2,6.8,-109
2024-02-13 19:07:48.223,3.04,21.88,-28,-691,-276,22,13,6,4,7,9,8,5,PackageType.HEART_BEAT,230,2,6.8,-109
2024-02-13 19:17:48.029,3.04,21.88,-26,-690,-270,25,17,5,4,7,7,6,7,PackageType.HEART_BEAT,231,2,6.2,-108
2024-02-13 19:27:49.029,3.04,21.88,-26,-695,-270,25,17,5,4,7,7,6,7,PackageType.HEART_BEAT,231,2,6.2,-108
2024-02-13 19:37:49.029,3.04,21.88,-27,-692,-274,25,17,5,4,7,7,6,7,PackageType.HEART_BEAT,231,2,6.2,-108
2024-02-13 19:47:49.284,3.04,21.88,-28,-692,-266,22,13,4,5,6,7,6,5,PackageType.HEART_BEAT,232,2,6.8,-111
2024-02-13 19:57:49.284,3.04,21.88,-27,-692,-271,22,13,4,5,6,7,6,5,PackageType.HEART_BEAT,232,2,6.8,-111
2024-02-13 20:07:49.284,3.04,21.88,-26,-693,-274,22,13,4,5,6,7,6,5,PackageType.HEART_BEAT,232,2,6.8,-111
2024-02-13 20:17:47.568,3.04,21.88,-27,-691,-271,22,15,6,6,7,7,7,5,PackageType.HEART_BEAT,233,2,6.5,-108
2024-02-13 20:27:48.568,3.04,21.88,-25,-691,-269,22,15,6,6,7,7,7,5,PackageType.HEART_BEAT,233,2,6.5,-108
2024-02-13 20:37:48.568,3.04,21.88,-30,-695,-272,22,15,6,6,7,7,7,5,PackageType.HEART_BEAT,233,2,6.5,-108
2024-02-13 20:47:48.403,3.04,21.88,-28,-692,-268,23,15,5,5,6,9,8,4,PackageType.HEART_BEAT,234,2,6.8,-106
2024-02-13 20:57:46.403,3.04,21.88,-25,-695,-275,23,15,5,5,6,9,8,4,PackageType.HEART_BEAT,234,2,6.8,-106
2024-02-13 21:07:48.403,3.04,21.88,-27,-692,-269,23,15,5,5,6,9,8,4,PackageType.HEART_BEAT,234,2,6.8,-106
2024-02-13 21:17:45.808,3.04,21.88,-25,-691,-273,22,16,5,5,7,8,8,5,PackageType.HEART_BEAT,235,2,8.8,-106
2024-02-13 21:27:46.808,3.04,21.88,-29,-689,-270,22,16,5,5,7,8,8,5,PackageType.HEART_BEAT,235,2,8.8,-106
2024-02-13 21:37:47.808,3.04,21.88,-25,-692,-272,22,16,5,5,7,8,8,5,PackageType.HEART_BEAT,235,2,8.8,-106
2024-02-13 21:47:46.482,3.04,21.88,-29,-696,-271,22,15,5,5,8,10,5,4,PackageType.HEART_BEAT,236,2,6.2,-108
2024-02-13 21:57:45.482,3.04,21.88,-27,-692,-270,22,15,5,5,8,10,5,4,PackageType.HEART_BEAT,236,2,6.2,-108
2024-02-13 22:07:46.482,3.04,21.88,-28,-691,-271,22,15,5,5,8,10,5,4,PackageType.HEART_BEAT,236,2,6.2,-108
2024-02-13 22:17:46.684,3.04,21.88,-25,-694,-272,24,16,5,5,5,7,7,5,PackageType.HEART_BEAT,237,2,9,-105
2024-02-13 22:27:44.684,3.04,21.88,-29,-692,-269,24,16,5,5,5,7,7,5,PackageType.HEART_BEAT,237,2,9,-105
2024-02-13 22:37:43.684,3.04,21.88,-26,-694,-271,24,16,5,5,5,7,7,5,PackageType.HEART_BEAT,237,2,9,-105
2024-02-13 22:47:45.703,3.04,21.88,-28,-693,-270,22,15,6,6,6,8,6,5,PackageType.HEART_BEAT,238,2,5.5,-114
2024-02-13 22:57:46.703,3.04,21.88,-27,-689,-267,22,15,6,6,6,8,6,5,PackageType.HEART_BEAT,238,2,5.5,-114
2024-02-13 23:07:46.703,3.04,21.88,-26,-696,-270,22,15,6,6,6,8,6,5,PackageType.HEART_BEAT,238,2,5.5,-114
2024-02-13 23:17:48.211,3.04,21.88,-24,-691,-272,23,16,4,5,6,7,7,7,PackageType.HEART_BEAT,239,2,5.2,-111
2024-02-13 23:27:48.211,3.04,21.88,-31,-691,-270,23,16,4,5,6,7,7,7,PackageType.HEART_BEAT,239,2,5.2,-111
2024-02-13 23:37:48.211,3.04,21.88,-26,-693,-270,23,16,4,5,6,7,7,7,PackageType.HEART_BEAT,239,2,5.2,-111
2024-02-13 23:47:48.666,3.04,21.88,-30,-690,-277,24,17,6,5,4,6,6,5,PackageType.HEART_BEAT,240,3,5,-114
2024-02-13 23:57:48.666,3.04,21.88,-22,-693,-266,24,17,6,5,4,6,6,5,PackageType.HEART_BEAT,240,3,5,-114
2024-02-14 00:07:50.666,3.04,21.88,-25,-693,-274,24,17,6,5,4,6,6,5,PackageType.HEART_BEAT,240,3,5,-114
2024-02-14 00:17:50.543,3.04,21.88,-24,-692,-268,21,12,7,6,6,7,6,5,PackageType.HEART_BEAT,241,3,3.2,-117
2024-02-14 00:27:52.543,3.04,21.88,-27,-693,-271,21,12,7,6,6,7,6,5,PackageType.HEART_BEAT,241,3,3.2,-117
2024-02-14 00:37:51.543,3.04,21.88,-28,-693,-270,21,12,7,6,6,7,6,5,PackageType.HEART_BEAT,241,3,3.2,-117
2024-02-14 00:47:50.745,3.06,21.88,-27,-696,-270,24,15,5,5,7,8,6,6,PackageType.HEART_BEAT,242,3,2.5,-114
2024-02-14 00:57:49.745,3.06,21.88,-30,-692,-265,24,15,5,5,7,8,6,6,PackageType.HEART_BEAT,242,3,2.5,-114
2024-02-14 01:07:48.745,3.06,21.88,-27,-696,-269,24,15,5,5,7,8,6,6,PackageType.HEART_BEAT,242,3,2.5,-114
2024-02-14 01:17:45.169,3.06,21.88,-27,-691,-266,22,14,5,5,6,7,6,7,PackageType.HEART_BEAT,243,3,2.2,-115
2024-02-14 01:27:46.169,3.06,21.88,-26,-694,-271,22,14,5,5,6,7,6,7,PackageType.HEART_BEAT,243,3,2.2,-115
2024-02-14 01:37:47.169,3.06,21.88,-24,-692,-269,22,14,5,5,6,7,6,7,PackageType.HEART_BEAT,243,3,2.2,-115
2024-02-14 01:47:48.385,3.04,21.88,-26,-694,-272,25,17,5,4,6,7,6,5,PackageType.HEART_BEAT,244,3,0,-114
2024-02-14 01:57:47.385,3.04,21.88,-26,-697,-266,25,17,5,4,6,7,6,5,PackageType.HEART_BEAT,244,3,0,-114
2024-02-14 02:07:49.385,3.04,21.88,-25,-698,-266,25,17,5,4,6,7,6,5,PackageType.HEART_BEAT,244,3,0,-114
2024-02-14 02:17:48.691,3.04,21.88,-24,-692,-273,21,13,6,4,5,8,8,4,PackageType.HEART_BEAT,245,3,5.5,-114
2024-02-14 02:27:47.691,3.04,21.88,-27,-694,-269,21,13,6,4,5,8,8,4,PackageType.HEART_BEAT,245,3,5.5,-114
2024-02-14 02:37:46.691,3.04,21.88,-27,-693,-270,21,13,6,4,5,8,8,4,PackageType.HEART_BEAT,245,3,5.5,-114
2024-02-14 02:47:45.384,3.04,21.88,-27,-695,-271,23,14,6,6,5,8,7,6,PackageType.HEART_BEAT,246,3,2.8,-113
2024-02-14 02:57:47.384,3.04,21.75,-25,-696,-267,23,14,6,6,5,8,7,6,PackageType.HEART_BEAT,246,3,2.8,-113
2024-02-14 03:07:47.384,3.04,21.88,-22,-692,-267,23,14,6,6,5,8,7,6,PackageType.HEART_BEAT,246,3,2.8,-113
2024-02-14 03:17:47.129,3.06,21.88,-27,-692,-265,23,15,5,5,7,8,7,7,PackageType.HEART_BEAT,247,3,4.5,-114
2024-02-14 03:27:46.129,3.06,21.75,-24,-698,-267,23,15,5,5,7,8,7,7,PackageType.HEART_BEAT,247,3,4.5,-114
