time,battery,temperature,x,y,z,0_radar,1_radar,2_radar,3_radar,4_radar,5_radar,6_radar,7_radar,package_type,f_cnt,dr,snr,rssi
2023-09-30 23:41:42.121,3.1,13.0,-37,-140,-873,6,3,4,4,5,5,5,1,PackageType.HEART_BEAT,10705,0,2.5,-110
2023-09-30 23:51:40.121,3.1,13.0,-39,-141,-874,6,3,4,4,5,5,5,1,PackageType.HEART_BEAT,10705,0,2.5,-110
2023-10-01 00:01:40.121,3.1,13.0,-39,-141,-877,6,3,4,4,5,5,5,1,PackageType.HEART_BEAT,10705,0,2.5,-110
2023-10-01 00:11:42.207,3.1,13.05,-38,-142,-876,5,4,3,3,3,3,3,4,PackageType.HEART_BEAT,10706,0,5,-108
2023-10-01 00:21:43.207,3.1,13.05,-39,-142,-872,5,4,3,3,3,3,3,4,PackageType.HEART_BEAT,10706,0,5,-108
2023-10-01 00:31:42.207,3.1,13.05,-38,-142,-874,5,4,3,3,3,3,3,4,PackageType.HEART_BEAT,10706,0,5,-108
2023-10-01 00:41:44.020,3.1,13.03,-39,-138,-871,8,5,4,4,4,3,2,2,PackageType.HEART_BEAT,10707,0,4.2,-115
2023-10-01 00:51:41.020,3.1,13.03,-37,-143,-872,8,5,4,4,4,3,2,2,PackageType.HEART_BEAT,10707,0,4.2,-115
2023-10-01 01:01:41.020,3.1,13.03,-34,-145,-877,8,5,4,4,4,3,2,2,PackageType.HEART_BEAT,10707,0,4.2,-115
2023-10-01 01:11:41.737,3.1,12.88,-35,-145,-875,7,7,7,3,2,3,4,4,PackageType.HEART_BEAT,10708,0,5,-110
2023-10-01 01:21:41.737,3.1,12.88,-33,-144,-875,7,7,7,3,2,3,4,4,PackageType.HEART_BEAT,10708,0,5,-110
2023-10-01 01:31:42.737,3.1,12.88,-33,-146,-876,7,7,7,3,2,3,4,4,PackageType.HEART_BEAT,10708,0,5,-110
2023-10-01 01:41:42.229,3.1,12.73,-34,-148,-877,8,6,3,3,3,3,3,2,PackageType.HEART_BEAT,10709,0,4.5,-110
2023-10-01 01:51:44.229,3.1,12.73,-35,-145,-875,8,6,3,3,3,3,3,2,PackageType.HEART_BEAT,10709,0,4.5,-110
2023-10-01 02:01:44.229,3.1,12.73,-33,-144,-878,8,6,3,3,3,3,3,2,PackageType.HEART_BEAT,10709,0,4.5,-110
2023-10-01 02:11:44.047,3.1,12.65,-33,-143,-873,6,6,2,3,3,4,4,4,PackageType.HEART_BEAT,10710,0,4.8,-107
2023-10-01 02:21:45.047,3.1,12.65,-35,-142,-876,6,6,2,3,3,4,4,4,PackageType.HEART_BEAT,10710,0,4.8,-107
2023-10-01 02:31:43.047,3.1,12.65,-38,-143,-881,6,6,2,3,3,4,4,4,PackageType.HEART_BEAT,10710,0,4.8,-107
2023-10-01 02:41:42.222,3.1,12.91,-35,-142,-878,6,6,2,2,3,3,3,4,PackageType.HEART_BEAT,10711,0,4.8,-113
2023-10-01 02:51:40.222,3.1,12.91,-33,-141,-877,6,6,2,2,3,3,3,4,PackageType.HEART_BEAT,10711,0,4.8,-113
2023-10-01 03:01:40.222,3.1,12.91,-31,-145,-877,6,6,2,2,3,3,3,4,PackageType.HEART_BEAT,10711,0,4.8,-113
2023-10-01 03:11:41.708,3.1,12.73,-36,-142,-878,7,7,5,4,2,2,2,3,PackageType.HEART_BEAT,10712,0,-14.8,-113
2023-10-01 03:21:42.708,3.1,12.73,-31,-140,-875,7,7,5,4,2,2,2,3,PackageType.HEART_BEAT,10712,0,-14.8,-113
2023-10-01 03:31:43.708,3.1,12.73,-35,-142,-880,7,7,5,4,2,2,2,3,PackageType.HEART_BEAT,10712,0,-14.8,-113
2023-10-01 03:41:43.388,3.1,12.88,-36,-143,-877,7,6,2,2,2,3,4,4,PackageType.HEART_BEAT,10713,0,4.8,-113
2023-10-01 03:51:44.388,3.1,12.88,-36,-141,-876,7,6,2,2,2,3,4,4,PackageType.HEART_BEAT,10713,0,4.8,-113
2023-10-01 04:01:42.388,3.1,12.88,-38,-141,-880,7,6,2,2,2,3,4,4,PackageType.HEART_BEAT,10713,0,4.8,-113
2023-10-01 04:11:40.269,3.1,12.91,-34,-143,-878,5,4,3,3,4,4,4,2,PackageType.HEART_BEAT,10714,0,4,-109
2023-10-01 04:21:40.269,3.1,12.91,-35,-145,-874,5,4,3,3,4,4,4,2,PackageType.HEART_BEAT,10714,0,4,-109
2023-10-01 04:31:40.269,3.1,12.91,-32,-144,-878,5,4,3,3,4,4,4,2,PackageType.HEART_BEAT,10714,0,4,-109
2023-10-01 04:41:40.503,3.1,12.7,-32,-144,-880,8,6,4,2,2,3,5,5,PackageType.HEART_BEAT,10715,0,3.5,-113
2023-10-01 04:51:42.503,3.1,12.7,-35,-143,-876,8,6,4,2,2,3,5,5,PackageType.HEART_BEAT,10715,0,3.5,-113
2023-10-01 05:01:45.503,3.1,12.7,-35,-142,-876,8,6,4,2,2,3,5,5,PackageType.HEART_BEAT,10715,0,3.5,-113
2023-10-01 05:16:19.043,3.1,12.92,-23,-109,-923,185,188,86,83,66,34,39,29,PackageType.HEART_BEAT,10717,0,-6.8,-116
